edition,round,home_team,away_team,date,home_result,away_result,result,city,id_match
1930,Poules,France,Mexico ,1930-01-01,4,1,home_team,Montevideo,711bab11-b0f2-4f82-a34e-7dc1933736e8
1930,Finale,Uruguay,Argentina,1930-01-01,4,2,home_team,Montevideo,aca71cf0-6fad-4004-86ad-2a8842ebc1fd
1930,Demi-finales,Uruguay,Yugoslavia ,1930-01-01,6,1,home_team,Montevideo,8485668f-2f49-4d15-b0eb-9197e2c8a817
1930,Demi-finales,Argentina,USA,1930-01-01,6,1,home_team,Montevideo,3cd25da5-f5d2-42c9-8ca5-a58a758f0ed9
1930,Poules,Argentina,Chile,1930-01-01,3,1,home_team,Montevideo,28aa75e9-59cb-415b-b155-d9966128afc8
1930,Poules,Uruguay,Romania ,1930-01-01,4,0,home_team,Montevideo,71853219-2cee-4121-bf0b-ca9c68bd8213
1930,Poules,Brazil ,Bolivia,1930-01-01,4,0,home_team,Montevideo,577cd87a-f7a7-4be0-a786-00ec48a1614c
1930,Poules,Argentina,Mexico ,1930-01-01,6,3,home_team,Montevideo,007c4feb-856e-41eb-b42b-d97606d08bfa
1930,Poules,Chile,France,1930-01-01,1,0,home_team,Montevideo,05f4fbf5-6527-4312-911c-45b308743074
1930,Poules,Paraguay,Belgium ,1930-01-01,1,0,home_team,Montevideo,ea8c2301-a74a-4054-8464-7c53f458791d
1930,Poules,USA,Paraguay,1930-01-01,3,0,home_team,Montevideo,bd624c02-69e9-4945-ab91-a73388ab8783
1930,Poules,Yugoslavia ,Bolivia,1930-01-01,4,0,home_team,Montevideo,e414f373-ac30-420f-9e39-ce82acb69e29
1930,Poules,Chile,Mexico ,1930-01-01,3,0,home_team,Montevideo,e6f5d3b2-18b3-4529-a94e-c327387f2816
1930,Poules,Argentina,France,1930-01-01,1,0,home_team,Montevideo,122647b6-7a4a-4f98-8f4a-25497010baa7
1930,Poules,Romania ,Peru ,1930-01-01,3,1,home_team,Montevideo,73ca2f59-616e-4591-b081-e798e6c9fb54
1930,Poules,Yugoslavia ,Brazil ,1930-01-01,2,1,home_team,Montevideo,4a774b08-e510-44a0-9ef5-ffe044cbd780
1930,Poules,USA,Belgium ,1930-01-01,3,0,home_team,Montevideo,7b7d4786-d913-4a1f-bb70-69f935ea9675
1930,Poules,Uruguay,Peru ,1930-01-01,1,0,home_team,Montevideo,a80259bb-9a63-45b3-b2bf-8476c1012779
1934,Quarts de finale,Czechoslovakia ,Switzerland ,1934-01-01,3,2,home_team,Torino,5d1a985c-d70f-4858-97fa-23940cf56aed
1934,Finale,Italy ,Czechoslovakia ,1934-01-01,2,1,home_team,Roma,3ca1b21a-2398-4356-a183-bec75d2f44a6
1934,Troisième place,Germany ,Austria ,1934-01-01,3,2,home_team,Napoli,1a58ea68-5991-4562-9938-f2fdd0f9490f
1934,Demi-finales,Czechoslovakia ,Germany ,1934-01-01,3,1,home_team,Roma,a1590968-6ef3-4e53-b9c3-b08220b33f8c
1934,Quarts de finale,Italy ,Spain ,1934-01-01,1,0,home_team,Firenze,fbb12ed2-5e53-443a-9210-68620baac4fe
1934,Quarts de finale,Italy ,Spain ,1934-01-01,1,1,draw,Firenze,0931999c-1791-4094-924b-d80d0ef1c4ef
