edition,round,home_team,away_team,date,home_result,away_result,result,city
1930,Poules,France,Mexico ,1930-01-01,4,1,home_team,Montevideo
1930,Poules,USA,Belgium ,1930-01-01,3,0,home_team,Montevideo
1930,Poules,Yugoslavia ,Brazil ,1930-01-01,2,1,home_team,Montevideo
1930,Poules,Romania ,Peru ,1930-01-01,3,1,home_team,Montevideo
1930,Poules,Argentina,France,1930-01-01,1,0,home_team,Montevideo
1930,Poules,Chile,Mexico ,1930-01-01,3,0,home_team,Montevideo
1930,Poules,Yugoslavia ,Bolivia,1930-01-01,4,0,home_team,Montevideo
1930,Poules,USA,Paraguay,1930-01-01,3,0,home_team,Montevideo
1930,Poules,Uruguay,Peru ,1930-01-01,1,0,home_team,Montevideo
1930,Poules,Chile,France,1930-01-01,1,0,home_team,Montevideo
1930,Poules,Argentina,Mexico ,1930-01-01,6,3,home_team,Montevideo
1930,Poules,Brazil ,Bolivia,1930-01-01,4,0,home_team,Montevideo
1930,Poules,Paraguay,Belgium ,1930-01-01,1,0,home_team,Montevideo
1930,Poules,Uruguay,Romania ,1930-01-01,4,0,home_team,Montevideo
1930,Poules,Argentina,Chile,1930-01-01,3,1,home_team,Montevideo
1930,Demi-finales,Argentina,USA,1930-01-01,6,1,home_team,Montevideo
1930,Demi-finales,Uruguay,Yugoslavia ,1930-01-01,6,1,home_team,Montevideo
1930,Finale,Uruguay,Argentina,1930-01-01,4,2,home_team,Montevideo
1934,Huitièmes de finale,Italy ,USA,1934-01-01,7,1,home_team,Roma
1934,Huitièmes de finale,Austria ,France,1934-01-01,3,2,home_team,Torino
1934,Huitièmes de finale,Germany ,Belgium ,1934-01-01,5,2,home_team,Firenze
1934,Huitièmes de finale,Czechoslovakia ,Romania ,1934-01-01,2,1,home_team,Trieste
1934,Huitièmes de finale,Switzerland ,Netherlands ,1934-01-01,3,2,home_team,Milano
1934,Huitièmes de finale,Sweden ,Argentina,1934-01-01,3,2,home_team,Bologna
1934,Huitièmes de finale,Spain ,Brazil ,1934-01-01,3,1,home_team,Genova
1934,Huitièmes de finale,Hungary ,Egypt ,1934-01-01,4,2,home_team,Napoli
1934,Quarts de finale,Austria ,Hungary ,1934-01-01,2,1,home_team,Bologna
1934,Quarts de finale,Czechoslovakia ,Switzerland ,1934-01-01,3,2,home_team,Torino
1934,Quarts de finale,Germany ,Sweden ,1934-01-01,2,1,home_team,Milano
1934,Quarts de finale,Italy ,Spain ,1934-01-01,1,1,draw,Firenze
1934,Quarts de finale,Italy ,Spain ,1934-01-01,1,0,home_team,Firenze
1934,Demi-finales,Italy ,Austria ,1934-01-01,1,0,home_team,Milano
1934,Demi-finales,Czechoslovakia ,Germany ,1934-01-01,3,1,home_team,Roma
1934,Troisième place,Germany ,Austria ,1934-01-01,3,2,home_team,Napoli
1934,Finale,Italy ,Czechoslovakia ,1934-01-01,2,1,home_team,Roma
1938,Huitièmes de finale,Switzerland ,Germany ,1938-01-01,1,1,draw,Paris
1938,Huitièmes de finale,Italy ,Norway ,1938-01-01,2,1,home_team,Marseille
1938,Huitièmes de finale,France,Belgium ,1938-01-01,3,1,home_team,Paris
1938,Huitièmes de finale,Hungary ,Dutch East Indies ,1938-01-01,6,0,home_team,Reims
1938,Huitièmes de finale,Cuba,Romania ,1938-01-01,3,3,draw,Toulouse
1938,Huitièmes de finale,Brazil ,Poland ,1938-01-01,6,5,home_team,Strasbourg
1938,Huitièmes de finale,Czechoslovakia ,Netherlands ,1938-01-01,3,0,home_team,Le_Havre
1938,Huitièmes de finale,Switzerland ,Germany ,1938-01-01,4,2,home_team,Paris
1938,Huitièmes de finale,Cuba,Romania ,1938-01-01,2,1,home_team,Toulouse
1938,Quarts de finale,Italy ,France,1938-01-01,3,1,home_team,Paris
1938,Quarts de finale,Brazil ,Czechoslovakia ,1938-01-01,1,1,draw,Bordeaux
1938,Quarts de finale,Hungary ,Switzerland ,1938-01-01,2,0,home_team,Lille
1938,Quarts de finale,Sweden ,Cuba,1938-01-01,8,0,home_team,Antibes
1938,Quarts de finale,Brazil ,Czechoslovakia ,1938-01-01,2,1,home_team,Bordeaux
1938,Demi-finales,Italy ,Brazil ,1938-01-01,2,1,home_team,Marseille
1938,Demi-finales,Hungary ,Sweden ,1938-01-01,5,1,home_team,Paris
1938,Troisième place,Brazil ,Sweden ,1938-01-01,4,2,home_team,Bordeaux
1938,Finale,Italy ,Hungary ,1938-01-01,4,2,home_team,Paris
1950,Poules,Brazil ,Mexico ,1950-01-01,4,0,home_team,Rio De Janeiro
1950,Poules,England,Chile,1950-01-01,2,0,home_team,Rio De Janeiro
1950,Poules,Spain ,USA,1950-01-01,3,1,home_team,Curitiba
